user_code, start_station, end_station, price, start_time, end_time
883545979,Houting,Yuyuan  station,12.0,2023-02-21 17:43:20,2023-02-21 18:22:20
883706296,ShaTian,Taiziwan,12.0,2023-08-15 22:38:03,2023-08-15 23:29:03
884315861,Jingtian,Xiameilin,2.0,2023-12-30 06:49:31,2023-12-30 07:41:31
888917951,Taoyuancun,Sea World,6.0,2023-04-08 13:37:51,2023-04-08 13:46:51
885000848,Hongshan,Hi-Tech Park,6.0,2023-11-10 14:45:04,2023-11-10 14:50:04
887137020,Danzhutou,Daxin,7.0,2024-03-07 08:58:44,2024-03-07 09:57:44
889605920,Waterlands Resort East,Shangfen,9.0,2023-09-25 13:57:13,2023-09-25 14:54:13
883560676,Shawei,Bantian North,5.0,2024-02-22 07:33:50,2024-02-22 07:42:50
887151665,Yitian,Shenzhen Bay Park,4.0,2023-02-16 17:56:07,2023-02-16 17:58:07
886106208,Shenzhen North Station,Children's Palace,4.0,2023-09-03 12:53:51,2023-09-03 12:56:51
885808754,Huanggangcun,Bao'an Center,6.0,2023-10-06 14:34:15,2023-10-06 15:22:15
885829845,Fenghuang Town,Shenwai Senior Campus,10.0,2023-10-30 10:52:19,2023-10-30 11:16:19
889451044,Luohu,Shenzhen World South,9.0,2023-04-09 16:35:15,2023-04-09 16:49:15
881414419,Shangtang,Pingshan Center,9.0,2023-11-21 08:56:46,2023-11-21 09:04:46
886124786,Civic Center,Longsheng,5.0,2023-03-02 12:57:19,2023-03-02 13:14:19
882338341,Liantang,Bao'an Passenger Transport Terminal,8.0,2023-08-07 07:39:21,2023-08-07 08:26:21
883468524,Yannan,Convention & Exhibition City,9.0,2023-09-07 10:48:25,2023-09-07 11:28:25
881113625,Liutang,Longjing,4.0,2024-03-02 21:45:40,2024-03-02 22:27:40
882885002,Shangsha,Universiade,7.0,2024-02-14 10:57:41,2024-02-14 11:26:41
889992986,Shenzhen University South,Liuyue North,8.0,2023-09-15 07:48:05,2023-09-15 08:31:05
887540882,Hongshuwan South,Yanzihu,10.0,2023-04-30 06:51:56,2023-04-30 06:51:56
881150074,Yuanling,Yuehaimen,6.0,2024-02-19 18:31:10,2024-02-19 19:12:10
883751069,Yannan,Kengzi,9.0,2023-11-29 17:36:24,2023-11-29 18:26:24
885927044,Houhai,Xin'an,3.0,2023-01-21 21:38:57,2023-01-21 21:39:57
888570280,Longdong Station,Mawan,11.0,2023-04-28 08:54:52,2023-04-28 09:50:52
889874277,Hehua,Huawei,4.0,2023-12-18 19:30:31,2023-12-18 20:28:31
889530530,Xingdong,Caopu,7.0,2023-04-06 20:33:30,2023-04-06 20:55:30
888742829,Dengliang,Hongling,6.0,2023-08-04 15:47:26,2023-08-04 16:34:26
883410282,Nankeng,Honghuashan,8.0,2023-11-23 17:32:15,2023-11-23 18:00:15
887651691,Songgang Park,Aobei,11.0,2023-06-24 09:46:55,2023-06-24 10:01:55
887575245,Silian,Yannan,6.0,2023-07-30 18:53:49,2023-07-30 19:50:49
882772739,University of technology,Ma'an Hill,14.0,2023-03-13 15:41:40,2023-03-13 16:11:40
884488695,Taiziwan,Tongle South,4.0,2023-12-22 22:40:31,2023-12-22 23:21:31
888673303,Bantian North,Xin'an Park,6.0,2023-07-19 13:55:12,2023-07-19 14:23:12
889350516,Futian Checkpoint,Xingdong,6.0,2023-11-09 15:49:05,2023-11-09 16:34:05
882980174,Shatoujiao,Ludancun,5.0,2023-08-23 07:50:44,2023-08-23 08:23:44
883869409,Qianhaiwan,Xin'an,2.0,2023-01-27 11:41:00,2023-01-27 11:59:00
886015765,Sea World,Bei'er Rd,7.0,2023-12-15 13:49:25,2023-12-15 14:24:25
887536762,Longhua,Chiwei,6.0,2023-11-08 09:49:56,2023-11-08 09:54:56
886043834,Niuhu,Waterlands Resort East,11.0,2023-06-27 12:56:12,2023-06-27 13:12:12
889264484,Zhenmei,Fuhai West,7.0,2024-03-16 18:38:30,2024-03-16 19:00:30
884756538,Xin'an,Songgang Park,7.0,2023-10-10 08:30:29,2023-10-10 09:01:29
881576459,Renmin South,Railway Park,7.0,2023-08-14 08:56:27,2023-08-14 09:31:27
882987822,Liyumen,Minle,6.0,2023-05-08 21:37:08,2023-05-08 22:30:08
889268783,Shenwai Senior Campus,Lingzhi,9.0,2023-12-12 15:37:47,2023-12-12 16:30:47
887111457,Tongxinling,Xiangmei,4.0,2023-03-21 11:46:04,2023-03-21 11:54:04
886207400,University of technology,Hongling,9.0,2023-11-19 21:58:58,2023-11-19 22:04:58
881190890,Luohu  North,Convention & Exhibition City,10.0,2023-07-03 21:44:19,2023-07-03 21:44:19
885997381,Ailian,Liutang,9.0,2024-02-19 21:47:20,2024-02-19 22:32:20
887821579,Mission Hills,Daxin,8.0,2023-06-11 13:40:55,2023-06-11 14:08:55
883839492,Shenzhen University South,Science Museum,5.0,2023-07-29 14:47:34,2023-07-29 15:38:34
881444220,Shenzhen University,Xiashuijing,7.0,2023-12-15 15:51:48,2023-12-15 16:04:48
881935502,Huaqiang South,Hi-tech South,5.0,2024-03-03 14:36:07,2024-03-03 15:12:07
881660062,Yanzihu,Silian,6.0,2023-12-15 17:35:58,2023-12-15 18:30:58
887378084,Xintangwei Station,Xin'an,10.0,2023-08-15 10:40:59,2023-08-15 10:40:59
882599154,Yonghu,Liuhe station,5.0,2023-02-26 22:50:50,2023-02-26 23:24:50
889530530,Sports Center,Zhenmei,8.0,2023-05-26 06:43:49,2023-05-26 07:35:49
883667108,Nanyue,Luohu  North,7.0,2023-10-11 16:40:12,2023-10-11 17:25:12
882243391,Fanshen,Shopping Park,6.0,2023-07-05 22:35:43,2023-07-05 22:47:43
884709976,Xiangmihu,Bantian,5.0,2023-10-20 13:38:11,2023-10-20 14:38:11
886763355,Keyuan,Baolongtongle Station,10.0,2023-08-18 13:53:45,2023-08-18 14:21:45
887750463,Sungang,Yantian Rd,7.0,2023-01-03 08:36:45,2023-01-03 08:43:45
886515534,Hongshuwan South,Minle,5.0,2023-06-26 08:32:35,2023-06-26 08:43:35
882273509,Buxin,Shenyun,6.0,2023-12-25 14:55:16,2023-12-25 15:28:16
882332878,Hongshuwan,Yannan,5.0,2023-08-07 17:48:28,2023-08-07 18:09:28
886591755,Honganwei,Futian Bonded Area,7.0,2023-03-11 16:59:01,2023-03-11 17:10:01
889596394,Zuopaotai East,Qiaocheng North,5.0,2024-03-15 07:47:55,2024-03-15 08:12:55
882268677,Qiaocheng East,Nanguang,4.0,2023-11-17 18:31:14,2023-11-17 18:46:14
883025666,Liantang Checkpoint,Baolongtongle Station,8.0,2023-11-10 10:54:09,2023-11-10 11:37:09
889801527,Bitou,Xili,8.0,2023-05-22 07:49:20,2023-05-22 08:44:20
888047487,Aobei,Bao'an Stadium,9.0,2023-03-15 18:30:49,2023-03-15 18:56:49
883154849,Ludancun,He'ao,7.0,2023-10-30 15:54:32,2023-10-30 16:01:32
887729645,Waterlands Resort East,Cuizhu,10.0,2024-02-24 21:41:57,2024-02-24 22:37:57
884007359,Huanggangcun,Futian Bonded Area,2.0,2024-02-15 19:54:55,2024-02-15 20:10:55
885192575,Pingluan Hill,Shangsha,6.0,2023-09-30 10:59:24,2023-09-30 11:46:24
883966002,Liuxiandong,Nanyou,5.0,2023-06-27 18:45:32,2023-06-27 19:04:32
884205605,Civic Center,Tangkeng,6.0,2023-03-17 06:48:38,2023-03-17 07:28:38
883906889,Hubei,Guanlan,7.0,2023-11-02 22:33:17,2023-11-02 23:17:17
889954834,Lingzhi,He'ao,9.0,2023-10-15 08:54:54,2023-10-15 09:26:54
886741839,Yijing,Chegongmiao,5.0,2023-10-28 10:59:24,2023-10-28 11:09:24
882427459,Buji,Bihaiwan,8.0,2023-02-05 08:45:25,2023-02-05 09:21:25
884761677,Shenwan,Qiaotou,7.0,2023-09-20 20:59:36,2023-09-20 21:52:36
883326154,Tai'an,Xikeng,7.0,2024-01-07 16:35:07,2024-01-07 16:46:07
888217255,Xiashuijing,Nanyou,7.0,2023-02-10 22:40:52,2023-02-10 23:32:52
889196372,Bantian,Wutong Mountain South,6.0,2023-09-04 19:30:28,2023-09-04 20:16:28
887046252,Ludancun,Bao'an Passenger Transport Terminal,7.0,2023-04-09 11:42:03,2023-04-09 12:32:03
885371843,Dongjiang Column Memorial 
Hall Station,Xuexiang,9.0,2023-03-19 21:58:42,2023-03-19 22:34:42
888794515,Luohu,Xin'an,7.0,2023-02-01 10:37:28,2023-02-01 11:32:28
881603005,Fanshen,University of technology,11.0,2023-05-16 08:31:09,2023-05-16 08:51:09
886378917,Nantou Ancient City,Sea World,3.0,2023-09-27 21:43:20,2023-09-27 22:07:20
888608116,Lingzhi,Xiameilin,6.0,2023-04-14 20:41:10,2023-04-14 20:58:10
886417944,Xixiang Taoyuan,Silian,9.0,2024-03-01 19:33:05,2024-03-01 20:10:05
882143958,Bagualing,Keyuan,5.0,2024-03-21 16:40:35,2024-03-21 17:21:35
884122772,Shixia,Nankeng,4.0,2023-07-11 11:46:03,2023-07-11 12:00:03
889064777,Guantian,Bagualing,6.0,2023-07-26 19:45:44,2023-07-26 20:44:44
885107714,Hongshan,ShaTian,10.0,2023-05-09 06:35:14,2023-05-09 07:30:14
884261137,Yonghu,Changlingpi,7.0,2024-01-24 10:58:53,2024-01-24 11:35:53
881942465,Waterlands Resort East,Gongming Square,7.0,2024-02-13 06:53:29,2024-02-13 07:43:29
883097399,Huaqiang Rd,Changlingpi,5.0,2024-01-17 18:44:43,2024-01-17 19:01:43
886188622,Pingluan Hill,Shangshuijing,7.0,2023-03-10 06:45:51,2023-03-10 07:31:51
882300818,Meijing,Chiwei,4.0,2023-08-31 15:44:08,2023-08-31 16:14:08
887071892,Luohu,Mawan,7.0,2023-04-05 11:59:42,2023-04-05 12:22:42
881747389,Science Museum,Shopping Park,3.0,2023-01-11 11:56:55,2023-01-11 12:15:55
882614624,Qiaocheng East,Futian Checkpoint,3.0,2023-01-08 14:41:47,2023-01-08 14:54:47
885832230,Hi-Tech Park,Cuizhu,6.0,2023-09-15 08:43:19,2023-09-15 09:04:19
888574410,Huaide,Baigelong,9.0,2023-10-14 18:49:28,2023-10-14 19:15:28
889514411,Donggualing,Lianhuacun ,2.0,2023-12-18 09:48:49,2023-12-18 09:55:49
883869409,Shixia,Yuanling,3.0,2023-07-17 21:58:01,2023-07-17 22:18:01
886486705,Antuo Hill,Shenzhen Bay Park,4.0,2023-11-26 13:31:13,2023-11-26 13:57:13
889234993,Hourui,Hehua,9.0,2024-03-25 10:47:57,2024-03-25 10:55:57
885788311,Liantang,Dongjiaotou,7.0,2023-09-26 14:48:19,2023-09-26 15:10:19
882332878,Meicun,University of technology,10.0,2024-02-22 16:53:42,2024-02-22 17:50:42
884491015,Hongling North,Honglang North,7.0,2024-02-02 22:31:46,2024-02-02 22:55:46
889582121,Dameisha,Minle,8.0,2023-06-24 14:45:30,2023-06-24 15:33:30
882628812,Nanguang,Railway Park,3.0,2023-01-14 20:49:38,2023-01-14 21:41:38
884744413,Mugu,SIAT,9.0,2023-10-24 16:43:36,2023-10-24 17:32:36
887651691,Yuanling,SIAT,9.0,2024-01-10 06:31:12,2024-01-10 06:43:12
887405149,Hi-tech South,Gushu,6.0,2024-03-18 09:58:03,2024-03-18 10:19:03
882840761,Futian,Shangjing Station,8.0,2023-05-01 06:31:50,2023-05-01 06:37:50
887423971,Xiangmei North,Shijing,10.0,2024-03-21 18:52:08,2024-03-21 19:41:08
882982963,Bihaiwan,Xili Lake,6.0,2023-12-07 20:37:41,2023-12-07 21:17:41
885167695,Gangxia North,Wutong Mountain South,5.0,2023-09-08 14:41:34,2023-09-08 15:18:34
881733555,Changzhen,ShaTian,12.0,2023-07-20 08:35:24,2023-07-20 08:42:24
888115908,Fuhai West,Tianbei,10.0,2024-01-02 20:34:27,2024-01-02 20:50:27
881983648,Hongling North,Shenwan,5.0,2024-01-12 18:47:08,2024-01-12 19:36:08
886320467,Xiangmei,Tai'an,5.0,2023-12-11 21:50:40,2023-12-11 22:28:40
886477930,Shenzhen Bay Park,Nonglin,3.0,2024-01-13 15:58:42,2024-01-13 16:03:42
889725767,Nantou Ancient City,Guantian,7.0,2023-03-15 22:57:40,2023-03-15 23:20:40
